reason,timestamp,power_generation,predicted_generation
Critical AI Deviation,2024-01-08 12:30:00,133.2249102820435,101.7206981614209
Critical AI Deviation,2024-01-08 18:30:00,127.5245745967595,94.280089956332
Critical AI Deviation,2024-01-08 19:45:00,146.563009640786,112.01890437402872
Critical AI Deviation,2024-01-08 20:00:00,149.7420892936246,112.93418130375136
Critical AI Deviation,2024-01-08 20:15:00,151.0926357146925,120.94026947741068
Critical AI Deviation,2024-01-14 13:15:00,146.2307885369747,115.67264443957164
Critical AI Deviation,2024-01-14 14:00:00,144.9406500446289,109.0031400136134
Critical AI Deviation,2024-01-15 18:30:00,133.1824324655008,100.02049875687108
Critical AI Deviation,2024-01-15 19:30:00,155.9811698636317,117.0329924539852
Critical AI Deviation,2024-01-15 20:00:00,155.4666726033773,124.96854238043431
Critical AI Deviation,2024-01-22 12:45:00,139.9450020176516,108.41055782523551
Critical AI Deviation,2024-01-22 18:30:00,142.1682551128147,108.66718758702407
Critical AI Deviation,2024-01-22 18:45:00,140.4349269507704,107.35330669452536
Critical AI Deviation,2024-01-22 19:00:00,148.4247429324884,117.8062032238737
Critical AI Deviation,2024-01-22 19:30:00,162.9200815347511,124.08762364242884
Critical AI Deviation,2024-01-22 19:45:00,164.7825125303076,129.63213679340336
Critical AI Deviation,2024-01-27 21:30:00,160.0419432197097,125.86349154263657
Critical AI Deviation,2024-01-27 22:00:00,152.0997815974959,120.53587311272696
Critical AI Deviation,2024-01-29 18:45:00,141.0402963427477,107.47953656240102
Critical AI Deviation,2024-01-29 19:45:00,151.404308346599,119.89565074908504
Critical AI Deviation,2024-01-15 23:00:00,91.77707225565466,128.30928315495112
Critical AI Deviation,2024-01-15 23:30:00,84.03880121937885,122.37702113266946
Critical AI Deviation,2024-01-19 23:45:00,81.05810175660386,113.22526618524124
Critical AI Deviation,2024-01-22 23:00:00,94.69541022361342,131.91847394301493
Critical AI Deviation,2024-01-26 22:45:00,86.16935730001762,117.62470857178488
Critical AI Deviation,2024-01-29 22:30:00,102.0770804885693,133.12962838051533
Critical AI Deviation,2024-01-29 22:45:00,96.11477440607324,127.41169343075902
Critical AI Deviation,2024-01-29 23:15:00,88.10745356193132,126.06447572089306
Ramp Rate Violation (Drop),2024-01-07 00:00:00,69.78264292938,61.064347294861065
Ramp Rate Violation (Drop),2024-01-08 00:00:00,63.85549906223113,66.32373151986243
Ramp Rate Violation (Drop),2024-01-12 00:00:00,74.87737928531193,68.85466597634115
Ramp Rate Violation (Drop),2024-01-13 00:00:00,69.70159918681011,70.62694031653315
Ramp Rate Violation (Drop),2024-01-14 00:00:00,75.29959968516961,66.76244666393761
Ramp Rate Violation (Drop),2024-01-15 00:00:00,68.10831908727741,74.83498824961949
Ramp Rate Violation (Drop),2024-01-16 00:00:00,73.21062778268127,70.99189695067078
Ramp Rate Violation (Drop),2024-01-19 02:30:00,43.76673242103158,31.30936715352693
Ramp Rate Violation (Drop),2024-01-20 00:00:00,70.67093569375083,65.58174389765233
Ramp Rate Violation (Drop),2024-01-21 00:00:00,76.73839973119394,67.33531591157856
Ramp Rate Violation (Drop),2024-01-22 00:00:00,68.76389002471988,76.62012320823581
Ramp Rate Violation (Drop),2024-01-23 00:00:00,71.6797592963153,70.0006589429824
Ramp Rate Violation (Drop),2024-01-27 00:00:00,68.21865122062061,63.99860085853371
Ramp Rate Violation (Drop),2024-01-28 00:00:00,71.06258250362282,65.48356228381812
Ramp Rate Violation (Drop),2024-01-29 00:00:00,73.01990435366163,70.33877612193717
Ramp Rate Violation (Drop),2024-01-30 00:00:00,72.95676327122543,73.37621272230223
